#Data tag : 24v2 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/pb) | recorded(/pb) |
| 317438:6759 | 06/05/18 09:20:20 | 307  | 307  | 51.444695995   | 49.418710130  |
| 317475:6761 | 06/05/18 18:13:47 | 68   | 68   | 26.931865118   | 25.622468120  |
| 317478:6761 | 06/05/18 18:47:21 | 23   | 23   | 8.433478637    | 7.897011188   |
| 317484:6761 | 06/05/18 19:51:18 | 523  | 523  | 164.894277840  | 159.533098594 |
| 317488:6761 | 06/05/18 23:26:30 | 844  | 844  | 185.712900006  | 179.962007956 |
| 317527:6763 | 06/06/18 22:52:12 | 1447 | 1447 | 464.000964544  | 449.507045082 |
| 317591:6768 | 06/08/18 07:07:54 | 292  | 292  | 114.967049194  | 110.841510310 |
| 317626:6770 | 06/08/18 20:45:30 | 2006 | 2006 | 544.831893295  | 527.327390655 |
| 317640:6772 | 06/09/18 13:47:48 | 801  | 801  | 270.108744683  | 259.731079457 |
| 317641:6772 | 06/09/18 19:02:09 | 1390 | 1390 | 274.673589671  | 266.604066430 |
| 317648:6773 | 06/10/18 06:27:56 | 95   | 95   | 37.278822658   | 33.709178283  |
| 317649:6773 | 06/10/18 07:08:12 | 621  | 621  | 199.355057025  | 192.155186291 |
| 317650:6773 | 06/10/18 11:10:27 | 1304 | 1304 | 262.593925275  | 254.333296133 |
| 317661:6774 | 06/10/18 21:56:59 | 1222 | 1222 | 385.417078966  | 373.601736565 |
| 317663:6774 | 06/11/18 06:27:15 | 858  | 858  | 156.206874182  | 152.291258648 |
| 317683:6776 | 06/11/18 16:18:33 | 320  | 320  | 121.785514050  | 117.291365088 |
| 317696:6778 | 06/12/18 00:00:42 | 645  | 645  | 236.665960077  | 227.620813987 |
| 318733:6850 | 06/26/18 22:28:18 | 33   | 33   | 2.989260359    | 2.795126096   |
| 318828:6858 | 06/28/18 06:30:24 | 70   | 70   | 13.544805177   | 13.098618803  |
| 318872:6860 | 06/28/18 15:50:31 | 272  | 272  | 94.434061884   | 91.090751030  |
| 318874:6860 | 06/28/18 17:39:38 | 320  | 320  | 103.367747780  | 98.750191323  |
| 318876:6860 | 06/28/18 19:45:23 | 161  | 161  | 48.650047160   | 46.223087378  |
| 318877:6860 | 06/28/18 20:49:22 | 615  | 615  | 163.733959399  | 159.257219377 |
| 319077:6874 | 07/01/18 23:27:46 | 41   | 41   | 16.736909309   | 16.264787726  |
| 319337:6901 | 07/08/18 02:05:51 | 2193 | 2193 | 237.770530060  | 232.802773043 |
| 319347:6904 | 07/08/18 19:53:18 | 651  | 651  | 228.105877714  | 209.961074404 |
| 319348:6904 | 07/09/18 00:07:18 | 37   | 37   | 10.908194947   | 4.982354371   |
| 319349:6904 | 07/09/18 00:23:34 | 148  | 148  | 41.809891005   | 40.692848729  |
| 319449:6909 | 07/09/18 20:59:32 | 698  | 698  | 257.814510475  | 247.471388312 |
| 319450:6909 | 07/10/18 01:32:44 | 681  | 681  | 210.947354238  | 205.528039120 |
| 319456:6909 | 07/10/18 07:08:40 | 209  | 209  | 53.616330288   | 51.626213581  |
| 319459:6909 | 07/10/18 08:32:35 | 78   | 78   | 17.543795226   | 17.117031483  |
| 319486:6911 | 07/11/18 09:10:21 | 66   | 66   | 20.924616631   | 20.182819999  |
| 319503:6911 | 07/11/18 17:30:46 | 317  | 317  | 94.533377790   | 90.691144743  |
| 319524:6912 | 07/11/18 22:27:29 | 1424 | 1424 | 468.713323419  | 454.705322201 |
| 319526:6912 | 07/12/18 08:14:19 | 282  | 282  | 71.369199595   | 69.280047741  |
| 319528:6912 | 07/12/18 10:11:01 | 259  | 259  | 60.788311734   | 59.396064859  |
| 319579:6919 | 07/13/18 04:43:17 | 3128 | 3128 | 841.079714406  | 816.920977886 |
