#Data tag : 24v2 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/pb) | recorded(/pb) |
| 275778:5043 | 06/25/16 12:13:15 | 319  | 319  | 50.004335305   | 46.162238694  |
| 275782:5043 | 06/25/16 14:44:49 | 761  | 761  | 104.347219619  | 100.440868623 |
| 275832:5045 | 06/26/16 17:18:04 | 371  | 371  | 79.108510355   | 73.405156956  |
| 275833:5045 | 06/26/16 19:45:07 | 251  | 251  | 49.127955144   | 46.797337948  |
| 275834:5045 | 06/26/16 21:26:02 | 303  | 297  | 55.576256050   | 52.459222160  |
| 275835:5045 | 06/26/16 23:24:23 | 20   | 13   | 3.530158015    | 2.089769315   |
| 275836:5045 | 06/26/16 23:32:00 | 1290 | 1284 | 197.025940703  | 186.382046736 |
| 275837:5045 | 06/27/16 07:59:11 | 715  | 715  | 86.791850379   | 84.175664734  |
| 275847:5045 | 06/27/16 13:59:22 | 2263 | 2263 | 205.471944702  | 200.568283349 |
| 275886:5048 | 06/28/16 08:39:25 | 40   | 40   | 8.804555580    | 7.663539479   |
| 275890:5048 | 06/28/16 09:27:45 | 1393 | 1393 | 247.481112501  | 237.643512122 |
| 275911:5052 | 06/29/16 01:49:35 | 382  | 381  | 78.224498148   | 73.962957210  |
| 275912:5052 | 06/29/16 04:21:23 | 303  | 297  | 57.160525816   | 52.522090499  |
| 275913:5052 | 06/29/16 06:19:55 | 484  | 480  | 82.897180726   | 77.387909134  |
| 275918:5052 | 06/29/16 09:29:20 | 332  | 332  | 51.968581490   | 50.183130560  |
| 275920:5052 | 06/29/16 11:54:52 | 472  | 472  | 66.187038589   | 61.815813640  |
| 275921:5052 | 06/29/16 14:59:30 | 32   | 27   | 4.313748466    | 2.717750654   |
| 275923:5052 | 06/29/16 15:16:55 | 127  | 127  | 16.791009812   | 16.046495794  |
| 275931:5052 | 06/29/16 16:34:22 | 89   | 89   | 11.329902587   | 11.009937101  |
| 275963:5056 | 06/30/16 01:02:54 | 90   | 90   | 20.866718032   | 19.769759479  |
| 276092:5060 | 07/01/16 02:14:32 | 80   | 80   | 16.851695403   | 14.927815110  |
| 276097:5060 | 07/01/16 03:07:31 | 507  | 507  | 104.680330396  | 100.454353211 |
| 276242:5069 | 07/02/16 14:05:34 | 1649 | 1649 | 285.923997002  | 271.464551216 |
| 276243:5069 | 07/03/16 00:56:20 | 625  | 625  | 85.468244794   | 78.522761751  |
| 276244:5069 | 07/03/16 05:03:30 | 1202 | 1202 | 138.837520275  | 133.636510752 |
| 276282:5071 | 07/03/16 18:15:01 | 1075 | 1069 | 218.300073176  | 207.841147022 |
| 276283:5071 | 07/04/16 01:13:27 | 1087 | 1087 | 175.660441642  | 168.603350497 |
| 276315:5072 | 07/04/16 11:19:05 | 186  | 180  | 38.413810808   | 34.412678160  |
| 276317:5072 | 07/04/16 12:32:52 | 147  | 140  | 29.807499691   | 26.592537821  |
| 276318:5072 | 07/04/16 13:29:46 | 574  | 574  | 103.913807937  | 98.975366403  |
| 276355:5073 | 07/04/16 21:39:48 | 34   | 33   | 6.761663502    | 6.271040336   |
| 276361:5073 | 07/04/16 22:36:15 | 835  | 831  | 158.916764090  | 151.012638764 |
| 276363:5073 | 07/05/16 04:07:36 | 1486 | 1480 | 218.879030510  | 208.305511696 |
| 276384:5073 | 07/05/16 13:46:43 | 1117 | 1117 | 126.291957479  | 122.563644709 |
| 276437:5076 | 07/06/16 02:58:47 | 2125 | 2125 | 374.099524845  | 359.764792289 |
| 276454:5076 | 07/06/16 18:08:15 | 527  | 527  | 66.435607680   | 64.517147127  |
| 276458:5076 | 07/07/16 02:00:22 | 341  | 341  | 34.238034926   | 33.452612981  |
| 276495:5078 | 07/07/16 11:20:57 | 193  | 187  | 42.769814647   | 38.488030602  |
| 276501:5078 | 07/07/16 12:46:30 | 2555 | 2550 | 422.751216919  | 405.660551584 |
