#Data tag : 24v2 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/pb) | recorded(/pb) |
| 283043:5405 | 10/12/16 22:44:16 | 519  | 519  | 123.757475588  | 117.972506173 |
| 283049:5406 | 10/13/16 05:05:17 | 17   | 17   | 5.584501780    | 3.171816897   |
| 283050:5406 | 10/13/16 05:13:23 | 227  | 221  | 67.069855291   | 58.639575302  |
| 283052:5406 | 10/13/16 06:45:19 | 124  | 120  | 34.002511311   | 29.110576115  |
| 283059:5406 | 10/13/16 08:00:56 | 458  | 451  | 105.776146820  | 99.841264047  |
| 283270:5416 | 10/14/16 18:39:48 | 1838 | 1837 | 399.686186649  | 385.521210242 |
| 283283:5416 | 10/15/16 06:35:59 | 1748 | 1748 | 204.630501238  | 199.136155602 |
| 283305:5418 | 10/15/16 21:41:13 | 15   | 11   | 3.823583941    | 1.407942072   |
| 283306:5418 | 10/15/16 21:46:57 | 291  | 291  | 81.714900940   | 77.780642792  |
| 283307:5418 | 10/15/16 23:43:44 | 461  | 461  | 107.440706821  | 101.384034144 |
| 283308:5418 | 10/16/16 02:46:26 | 946  | 946  | 168.349842798  | 161.919434433 |
| 283353:5421 | 10/16/16 19:55:17 | 753  | 750  | 202.579179689  | 193.296966299 |
| 283358:5421 | 10/17/16 00:50:19 | 985  | 981  | 183.975677195  | 173.997642466 |
| 283359:5421 | 10/17/16 07:15:19 | 428  | 428  | 62.846962736   | 61.358758101  |
| 283407:5423 | 10/17/16 21:54:07 | 43   | 39   | 14.382530546   | 9.938878672   |
| 283408:5423 | 10/17/16 22:10:43 | 2355 | 2355 | 479.821545940  | 461.816465204 |
| 283416:5423 | 10/18/16 15:16:09 | 197  | 197  | 22.663827155   | 22.044105321  |
| 283453:5424 | 10/18/16 19:07:49 | 455  | 455  | 130.170528329  | 124.741121080 |
| 283469:5426 | 10/19/16 01:09:36 | 1    | 1    | 0.336328439    | 0.031461129   |
| 283478:5427 | 10/19/16 04:13:19 | 878  | 874  | 221.655979071  | 212.593954866 |
| 283548:5433 | 10/19/16 22:58:16 | 148  | 146  | 28.243728910   | 26.583802767  |
| 283680:5437 | 10/21/16 03:17:51 | 87   | 87   | 21.364637084   | 19.145318863  |
| 283681:5437 | 10/21/16 03:56:07 | 23   | 23   | 5.479847064    | 3.854775302   |
| 283682:5437 | 10/21/16 04:08:38 | 389  | 384  | 84.335331002   | 80.903224795  |
| 283685:5437 | 10/21/16 06:39:38 | 314  | 314  | 21.584448516   | 20.476214407  |
| 283820:5439 | 10/21/16 20:48:18 | 1486 | 1482 | 271.103506499  | 261.598726916 |
| 283830:5439 | 10/22/16 06:27:24 | 729  | 722  | 106.986194358  | 103.188837188 |
| 283834:5439 | 10/22/16 11:11:28 | 85   | 82   | 10.852823748   | 9.088267858   |
| 283835:5439 | 10/22/16 11:45:28 | 112  | 112  | 13.217799062   | 11.410359518  |
| 283865:5441 | 10/22/16 17:30:09 | 1177 | 1177 | 276.459279087  | 267.265935462 |
| 283876:5442 | 10/23/16 03:38:50 | 672  | 668  | 175.560519945  | 165.629294732 |
| 283877:5442 | 10/23/16 07:59:53 | 1496 | 1496 | 256.054873442  | 248.062169996 |
| 283884:5443 | 10/23/16 23:44:05 | 408  | 408  | 108.996967828  | 103.096196050 |
| 283885:5443 | 10/24/16 02:25:30 | 1723 | 1723 | 301.835543805  | 293.297335361 |
| 283933:5446 | 10/24/16 18:32:31 | 153  | 148  | 45.122273416   | 40.818834917  |
| 283934:5446 | 10/24/16 19:33:15 | 1258 | 1258 | 282.758142671  | 272.353913367 |
| 283946:5448 | 10/25/16 07:30:41 | 1378 | 1378 | 315.329684111  | 303.446666531 |
| 283964:5448 | 10/25/16 16:29:30 | 388  | 388  | 61.117188095   | 59.246802475  |
| 284006:5450 | 10/26/16 01:53:26 | 322  | 321  | 61.062124695   | 58.267371882  |
| 284014:5450 | 10/26/16 03:59:16 | 266  | 266  | 49.611442800   | 48.298875825  |
| 284025:5451 | 10/26/16 08:56:20 | 54   | 52   | 14.487281672   | 12.336624501  |
| 284029:5451 | 10/26/16 09:19:00 | 112  | 112  | 32.150210445   | 30.294679235  |
| 284035:5451 | 10/26/16 10:04:52 | 369  | 361  | 93.723745883   | 88.596368525  |
| 284036:5451 | 10/26/16 12:28:09 | 356  | 349  | 77.637697848   | 72.473292211  |
| 284037:5451 | 10/26/16 14:48:03 | 343  | 341  | 65.542847429   | 63.010359628  |
| 284038:5451 | 10/26/16 17:02:16 | 60   | 55   | 10.679311791   | 9.192518670   |
| 284039:5451 | 10/26/16 17:27:02 | 34   | 30   | 5.942863250    | 4.843457837   |
| 284040:5451 | 10/26/16 17:42:18 | 35   | 35   | 6.049726318    | 5.499266913   |
| 284041:5451 | 10/26/16 17:59:11 | 47   | 45   | 7.784569424    | 6.876668529   |
| 284042:5451 | 10/26/16 18:23:53 | 137  | 129  | 22.043813104   | 19.884807484  |
| 284043:5451 | 10/26/16 19:17:23 | 227  | 225  | 33.783793337   | 32.003511511  |
| 284044:5451 | 10/26/16 20:46:05 | 30   | 30   | 4.412021262    | 4.325714722   |
+-------------+-------------------+------+------+----------------+---------------+
#Summary: 
+-------+------+-------+-------+-------------------+------------------+
| nfill | nrun | nls   | ncms  | totdelivered(/pb) | totrecorded(/pb) |
+-------+------+-------+-------+-------------------+------------------+
| 66    | 164  | 94094 | 93787 | 17796.657942692   | 16977.701784458  |
+-------+------+-------+-------+-------------------+------------------+
#Check JSON:
#(run,ls) in json but not in results: []
